"date","isin","cusip","ticker_raw","name","sector","asset_class","mkt_val","weight","shares","price","currency","exchange","country"
"2026-05-01","","PFEP0607309","AHL F","Aspen Insurance Holdings Ltd 7.000%","Preferred Stock","Preferred Stock","",39536.3816,158749.0,24.71,"USD","",""
"2026-05-01","","PFEP0597112","LBRDP","Liberty Broadband Corp 7.000%","Preferred Stock","Preferred Stock","",43426.1642,178738.0,21.93,"USD","",""
"2026-05-01","","PFEP0599134","SHO I","Sunstone Hotel Investors Inc 5.700%","Preferred Stock","Preferred Stock","",39475.5751,188567.0,20.14,"USD","",""
"2026-05-01","","PFEP0608414","BUSEP","First Busey Corp 8.250%","Preferred Stock","Preferred Stock","",37593.0869,146190.0,25.86,"USD","",""
"2026-05-01","","PFEP0610501","WHR A","Whirlpool Corp 8.500%","Preferred Stock","Preferred Stock","",44870.5465,90349.0,40.84,"USD","",""
"2026-05-01","","PFEP0564401","BHR D","Braemar Hotels & Resorts Inc 8.250%","Preferred Stock","Preferred Stock","",38886.6248,219157.0,16.5,"USD","",""
"2026-05-01","","PFEP0532747","VLYPO","Valley National Bancorp 7.550%","Preferred Stock","Preferred Stock","",35965.1523,143898.0,25.0,"USD","",""
"2026-05-01","","PFEP0565390","PEB E","Pebblebrook Hotel Trust 6.375%","Preferred Stock","Preferred Stock","",32173.9787,175369.0,19.89,"USD","",""
"2026-05-01","","PFEP0601328","RIV A","RiverNorth Opportunities Fund Inc 6.000%","Preferred Stock","Preferred Stock","",36234.8635,154239.0,22.5,"USD","",""
"2026-05-01","","PFEP0315424","EPR E","EPR Properties 9.000%","Preferred Stock","Preferred Stock","",32418.2529,104492.0,32.16,"USD","",""
"2026-05-01","","PFEP0606509","VLYPN","Valley National Bancorp 8.250%","Preferred Stock","Preferred Stock","",32269.1404,124464.0,26.06,"USD","",""
"2026-05-01","","PFEP0535534","DBRG J","DigitalBridge Group Inc 7.125%","Preferred Stock","Preferred Stock","",40761.7857,182648.0,17.43,"USD","",""
"2026-05-01","","PFEP0607887","OXLCG","Oxford Lane Capital Corp 7.950%","Preferred Stock","Preferred Stock","",30043.9674,120003.0,25.35,"USD","",""
"2026-05-01","","PFEP0524728","TWO A","Two Harbors Investment Corp 8.125%","Preferred Stock","Preferred Stock","",28834.3923,119484.0,24.7,"USD","",""
"2026-05-01","","PFEP0139618","LXP C","LXP Industrial Trust 6.500%","Preferred Stock","Preferred Stock","",30627.2604,61505.0,45.56,"USD","",""
"2026-05-01","","PFEP0598409","UZF","Array Digital Infrastructure Inc 5.500%","Preferred Stock","Preferred Stock","",28132.7106,151722.0,18.16,"USD","",""
"2026-05-01","","PFEP0596940","UZE","Array Digital Infrastructure Inc 5.500%","Preferred Stock","Preferred Stock","",25367.0198,137331.0,18.08,"USD","",""
"2026-05-01","","PFEP0462051","ACR C","ACRES Commercial Realty Corp 9.858%","Preferred Stock","Preferred Stock","",22814.3015,96141.0,25.12,"USD","",""
"2026-05-01","","PFEP0603993","ABXL","Abacus Global Management Inc 9.875%","Preferred Stock","Preferred Stock","",21115.9607,83614.0,25.94,"USD","",""
"2026-05-01","","PFEP0605758","BIPJ","Brookfield Infrastructure Finance ULC 7.250%","Preferred Stock","Preferred Stock","",18262.0906,73972.0,24.8,"USD","",""
"2026-05-01","","PFEP0609123","AGNCZ","AGNC Investment Corp 8.750%","Preferred Stock","Preferred Stock","",18083.1202,70544.0,25.55,"USD","",""
"2026-05-01","","PFEP0598789","ATLCP","Atlanticus Holdings Corp 7.625%","Preferred Stock","Preferred Stock","",17398.1078,74012.0,23.7,"USD","",""
"2026-05-01","","PFEP0605709","CIMN","Chimera Investment Corp 9.000%","Preferred Stock","Preferred Stock","",16499.3538,65439.0,25.09,"USD","",""
"2026-05-01","","PFEP0598458","ACR D","ACRES Commercial Realty Corp 7.875%","Preferred Stock","Preferred Stock","",15247.4592,70259.0,21.86,"USD","",""
"2026-05-01","","PFEP0438903","PBI B","Pitney Bowes Inc 6.700%","Preferred Stock","Preferred Stock","",13729.9231,66736.0,21.01,"USD","",""
"2026-05-01","","PFEP0600593","EFC B","Ellington Financial Inc 6.250%","Preferred Stock","Preferred Stock","",13121.8643,54025.0,24.47,"USD","",""
"2026-05-01","","PFEP0591420","UZD","Array Digital Infrastructure Inc 6.250%","Preferred Stock","Preferred Stock","",12942.2819,63085.0,20.06,"USD","",""
"2026-05-01","","PFEP0606319","AOMN","Angel Oak Mortgage REIT Inc 9.500%","Preferred Stock","Preferred Stock","",11514.3707,45773.0,24.95,"USD","",""
"2026-05-01","","PFEP0602680","RWT A","Redwood Trust Inc 10.000%","Preferred Stock","Preferred Stock","",10800.3414,43935.0,24.86,"USD","",""
"2026-05-01","","PFEP0599761","RITM D","Rithm Capital Corp 7.000%","Preferred Stock","Preferred Stock","",10234.0643,42140.0,24.71,"USD","",""
"2026-05-01","","PFEP0607499","PDPA","Pearl Diver Credit Company Inc 8.000%","Preferred Stock","Preferred Stock","",10030.564,39946.0,25.24,"USD","",""
"2026-05-01","","PFEP0598623","ABR D","Arbor Realty Trust Inc 6.375%","Preferred Stock","Preferred Stock","",10201.0304,55015.0,16.9,"USD","",""
"2026-05-01","","PFEP0599431","ABR E","Arbor Realty Trust Inc 6.250%","Preferred Stock","Preferred Stock","",9387.3527,52657.0,16.91,"USD","",""
"2026-05-01","","PFEP0598730","TRTX C","TPG RE Finance Trust Inc 6.250%","Preferred Stock","Preferred Stock","",8722.9803,46917.0,18.43,"USD","",""
"2026-05-01","","PFEP0558197","OAK B","Brookfield Oaktree Holdings LLC 6.550%","Preferred Stock","Preferred Stock","",6202.8061,28405.0,20.55,"USD","",""
"2026-05-01","","PFEP0601906","MSBIP","Midland States Bancorp Inc 7.750%","Preferred Stock","Preferred Stock","",5448.481,22784.0,25.39,"USD","",""
"2026-05-01","","PFEP0537639","IIPR A","Innovative Industrial Properties Inc 9.000%","Preferred Stock","Preferred Stock","",5611.9744,25020.0,22.51,"USD","",""
"2026-05-01","","PFEP0606988","EIIA","Eagle Point Institutional Income Fund 8.125%","Preferred Stock","Preferred Stock","",5504.8742,21857.0,25.26,"USD","",""
"2026-05-01","","PFEP0602243","FTAIN","FTAI Aviation Ltd 8.250%","Preferred Stock","Preferred Stock","",5164.844,20459.0,25.33,"USD","",""
"2026-05-01","","PFEP0605246","TRINZ","Trinity Capital Inc 7.875%","Preferred Stock","Preferred Stock","",4992.593,19715.0,25.39,"USD","",""
"2026-05-01","","PFEP0597963","KKRS","KKR Group Finance Co IX LLC 4.625%","Preferred Stock","Preferred Stock","",3648.7978,22287.0,16.98,"USD","",""
"2026-05-01","","PFEP0552968","OAK A","Brookfield Oaktree Holdings LLC 6.625%","Preferred Stock","Preferred Stock","",3330.4093,15061.0,20.86,"USD","",""
"2026-05-01","","PFEP0598672","RC E","Ready Capital Corp 6.500%","Preferred Stock","Preferred Stock","",3199.7298,24563.0,12.55,"USD","",""
"2026-05-01","","PFEP0608729","ADAMH","Adamas Trust Inc 9.875%","Preferred Stock","Preferred Stock","",2756.7025,10760.0,25.55,"USD","",""
"2026-05-01","","PFEP0598425","SHO H","Sunstone Hotel Investors Inc 6.125%","Preferred Stock","Preferred Stock","",2727.3662,12754.0,20.76,"USD","",""
"2026-05-01","","PFEP0599480","OXLCO","Oxford Lane Capital Corp 6.000%","Preferred Stock","Preferred Stock","",2524.77,10823.0,23.95,"USD","",""
"2026-05-01","","PFEP0589762","OPIRQ","Office Properties Income Trust 6.375%","Preferred Stock","Preferred Stock","",82339.2727,643354.0,0.31,"USD","",""
"2026-05-01","","EQ0031011600060001","AQN","Algonquin Power & Utilities Corp","Foreign Stock","Foreign Stock","",1589.4127,30562.0,6.28,"USD","",""
"2026-05-01","","PFEP0610790","CFTR A","Cantor Fitzgerald Income Trust Inc 9.500%","Preferred Stock","Preferred Stock","",1563.8796,6309.0,24.92,"USD","",""
"2026-05-01","","PFEP0608893","CFG I","Citizens Financial Group Inc 6.500%","Preferred Stock","Preferred Stock","",1348.9627,5308.0,25.21,"USD","",""
"2026-05-01","","PFEP0575472","AHL E","Aspen Insurance Holdings Ltd 5.625%","Preferred Stock","Preferred Stock","",1205.5517,5961.0,21.42,"USD","",""
"2026-05-01","","PFEP0597427","DCOM","Dime Community Bancshares Inc 5.500%","Preferred Stock","Preferred Stock","",927.5794,4903.0,19.54,"USD","",""
"2026-05-01","","PFEP0423905","MITT A","TPG Mortgage Investment Trust Inc 8.250%","Preferred Stock","Preferred Stock","",659.1724,3091.0,22.84,"USD","",""
"2026-05-01","","PFEP0608406","NEE U","NextEra Energy Capital Holdings Inc 6.500%","Preferred Stock","Preferred Stock","",573.4189,2231.0,25.6,"USD","",""
"2026-05-01","","PFEP0609222","WSBCO","WesBanco Inc 7.375%","Preferred Stock","Preferred Stock","",450.7227,1759.0,25.72,"USD","",""
"2026-05-01","","PFEP0597104","ALTG A","Alta Equipment Group Inc 10.000%","Preferred Stock","Preferred Stock","",424.4999,1679.0,25.14,"USD","",""
"2026-05-01","","PFEP0607382","PCG X","PG&E Corp 6.000%","Preferred Stock","Preferred Stock","",352.5804,844.0,42.06,"USD","",""
"2026-05-01","","PFEP0604066","SCE M","SCE Trust VII 7.500%","Preferred Stock","Preferred Stock","",192.0101,762.0,25.23,"USD","",""
"2026-05-01","","PFEP0608943","NLY J","Annaly Capital Management Inc 8.875%","Preferred Stock","Preferred Stock","",41.9806,163.0,26.17,"USD","",""
"2026-05-01","","EQ0010060700001000","NEE","NextEra Energy Inc","Common Stock","Common Stock","",30.196,40.0,97.88,"USD","",""
"2026-05-01","","PFEP0606608","CIMO","Chimera Investment Corp 9.250%","Preferred Stock","Preferred Stock","",6.8684,27.0,25.1,"USD","",""
